PESSOA,NOME,PERIODO,NOME_DISCIPLINA,DISCIPLINA,TURMA,SERIE,SITUACAO_HIST,UNIDADE_FISICA,PERIODO_INGRESSO,PROUNI,FIES,DESCONTO_FUNCIONARIO,PERC_PRESENCA,VA1,VA2,VA3,NULO VA,NULO SERIE,PRESENCA NULO,PRESENCA ZERO,PRESENCA ACIMA,NULO TURMA,MEDIA VA 1 + 2,MEDIA VA 1 + 3,MEDIA VA 2+ 3,MEDIA NOTA ,NOME+COD DISCIPLINA,Validador de Status
59483,PSICOLOGIA,2025/2,METODOLOGIA DO TRABALHO CIENTÍFICO - ON-LINE,9645,NULL,NULL,Dispensado,CA1,2022/1,N,N,N,10.000,NULL,NULL,NULL,"VA1, VA2, VA3",NULL,NÃO,NÃO,SIM,NULL,#VALUE!,#VALUE!,#VALUE!,0,9645 METODOLOGIA DO TRABALHO CIENTÍFICO - ON-LINE,#ERROR!
59483,PSICOLOGIA,2025/2,PSICOLOGIA SOCIAL APLICADA,13567,0090-INT-A,8,Aprovado,CA1,2022/1,N,N,N,0.9125,100,91,92,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,"95,5",96,"91,5","94,33333333",13567 PSICOLOGIA SOCIAL APLICADA,#ERROR!
59483,PSICOLOGIA,2025/2,"PSICOLOGIA AMBIENTAL, DAS EMERGÊNCIAS E DOS DESASTRES",13569,0090-INT-A,8,Aprovado,CA1,2022/1,N,N,N,0.8250,88,89,88,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,"88,5",88,"88,5","88,33333333","13569 PSICOLOGIA AMBIENTAL, DAS EMERGÊNCIAS E DOS DESASTRES",#ERROR!
59483,PSICOLOGIA,2025/2,MÉTODOS E MEDIDAS EM PSICOLOGIA,13568,0090-INT-A,8,Aprovado,CA1,2022/1,N,N,N,0.9000,99,100,100,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,"99,5","99,5",100,"99,66666667",13568 MÉTODOS E MEDIDAS EM PSICOLOGIA,#ERROR!
145581,ENGENHARIA DE SOFTWARE,2025/2,INTERNET DAS COISAS,11300,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.8500,100.0,77.0,78.0,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,11300 INTERNET DAS COISAS,#ERROR!
145581,ENGENHARIA DE SOFTWARE,2025/2,HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,111477,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,10.000,71.0,71.0,94.0,FALSE,NÃO,NÃO,NÃO,SIM,NÃO,#VALUE!,#VALUE!,#VALUE!,0,111477 HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,#ERROR!
145581,ENGENHARIA DE SOFTWARE,2025/2,DESENVOLVIMENTO MOBILE,11303,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.8625,85,93,83,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,89,84,88,87,11303 DESENVOLVIMENTO MOBILE,#ERROR!
145581,ENGENHARIA DE SOFTWARE,2025/2,SEGURANÇA DA INFORMAÇÃO,11302,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.7750,80.0,92.0,61.0,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,11302 SEGURANÇA DA INFORMAÇÃO,#ERROR!
145581,ENGENHARIA DE SOFTWARE,2025/2,DATA SCIENCE,11476,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.9500,85,96,76,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,"90,5","80,5",86,"85,66666667",11476 DATA SCIENCE,#ERROR!
149739,ENGENHARIA DE SOFTWARE,2025/2,HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,111477,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,10.000,51.0,45.0,85,FALSE,NÃO,NÃO,NÃO,SIM,NÃO,#VALUE!,#VALUE!,#VALUE!,"28,33333333",111477 HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,#ERROR!
149739,ENGENHARIA DE SOFTWARE,2025/2,DESENVOLVIMENTO MOBILE,11303,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.8000,93,85,69,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,89,81,77,"82,33333333",11303 DESENVOLVIMENTO MOBILE,#ERROR!
141187,ENGENHARIA DE SOFTWARE,2025/2,INTERNET DAS COISAS,11300,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.7750,89.0,95.0,70.0,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,11300 INTERNET DAS COISAS,#ERROR!
145394,PSICOLOGIA,2025/2,ESTÁGIO SUPERVISIONADO II,10034,0090-INT-C,10,Aprovado,CA1,2022/1,N,N,N,10.000,84,100,100,FALSE,NÃO,NÃO,NÃO,SIM,NÃO,92,92,100,"94,66666667",10034 ESTÁGIO SUPERVISIONADO II,#ERROR!
149739,ENGENHARIA DE SOFTWARE,2025/2,INTERNET DAS COISAS,11300,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.7500,86.0,72.0,74.0,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,11300 INTERNET DAS COISAS,#ERROR!
141187,ENGENHARIA DE SOFTWARE,2025/2,HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,111477,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,10.000,80.0,66.0,88.0,FALSE,NÃO,NÃO,NÃO,SIM,NÃO,#VALUE!,#VALUE!,#VALUE!,0,111477 HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,#ERROR!
141187,ENGENHARIA DE SOFTWARE,2025/2,DESENVOLVIMENTO MOBILE,11303,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.8000,94,78,69,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,86,"81,5","73,5","80,33333333",11303 DESENVOLVIMENTO MOBILE,#ERROR!
145857,PSICOLOGIA,2025/2,METODOLOGIA DO TRABALHO CIENTÍFICO - ON-LINE,9645,0090-INT-A,6,Trancado,CA1,2022/1,N,N,N,0.0000,NULL,NULL,NULL,"VA1, VA2, VA3",NÃO,NÃO,SIM,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,9645 METODOLOGIA DO TRABALHO CIENTÍFICO - ON-LINE,#ERROR!
145857,PSICOLOGIA,2025/2,DESENVOLVIMENTO SOCIAL E SUSTENTABILIDADE - ON-LINE,9792,0090-INT-A,6,Trancado,CA1,2022/1,N,N,N,0.0000,NULL,NULL,NULL,"VA1, VA2, VA3",NÃO,NÃO,SIM,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,9792 DESENVOLVIMENTO SOCIAL E SUSTENTABILIDADE - ON-LINE,#ERROR!
144669,ENGENHARIA DE SOFTWARE,2025/2,INTERNET DAS COISAS,11300,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,0.7500,88.0,74.0,78.0,FALSE,NÃO,NÃO,NÃO,NÃO,NÃO,#VALUE!,#VALUE!,#VALUE!,0,11300 INTERNET DAS COISAS,#ERROR!
144669,ENGENHARIA DE SOFTWARE,2025/2,HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,111477,0111-08A,8,Aprovado,CA1,2022/1,N,N,N,10.000,64.0,62.0,87.0,FALSE,NÃO,NÃO,NÃO,SIM,NÃO,#VALUE!,#VALUE!,#VALUE!,0,111477 HABILIDADES COMPLEMENTARES EM ENGENHARIA DE SOFTWARE,#ERROR!
144669,ENGENHARIA DE SOFTWARE,2025/2,INTELIGÊNCIA ARTIFICIAL,11291,T01-EAD-A,8,Aprovado,CA1,2022/1,N,N,N,0.0000,80,98,84,FALSE,NÃO,NÃO,SIM,NÃO,NÃO,89,82,91,"87,33333333",11291 INTELIGÊNCIA ARTIFICIAL,#ERROR!
